이름,Skill,URL,진행 기간,한줄 소개
디스코드 뮤직 자막 봇,"Python, 개인 프로젝트",https://discord.mayonedev.com/,2018년 6월 1일 → 2099년 12월 31일,디스코드에서 친구들과 통화하며 음악을 감상할 수 있게 해주는 서비스
top solved,Python,https://github.com/MayoneJY/top-solved,2025년 7월 24일 → 2025년 7월 25일,http://solved.ac/ 푼 문제 상위 100개 보여주는 프로필 카드
디스코드 발로란트 내전 봇,"Javascript, Python, React, 개인 프로젝트",,2024년 5월 18일 → 2024년 8월 31일,디스코드 커맨드를 통해 내전 스크림을 쉽게 할 수 있는 봇
AI와 함께 개발한 네이버 증권뉴스 크롤러,"Python, React, mariadb",,2025년 3월 6일 → 2025년 3월 8일,뉴스를 크롤러 하여 키워드 검색할 수 있는 사이트
WebSocket & Chat System,"Javascript, NestJS, React, TypeORM, Websocket, mariadb",https://github.com/MayoneJY/nestjs-chat,2025년 1월 25일 → 2025년 1월 28일,실시간으로 채팅을 할 수 있는 프로젝트
Allive,"Javascript, Node.js, React",https://live.mayonedev.com/,2024년 1월 16일 → 2024년 2월 4일,"한국의 모든 방송플랫폼을 한번에 볼 수 있는 서비스 (치지직, 트위치)"
디스코드 입퇴장 알림 봇,"Python, 개인 프로젝트",https://github.com/MayoneJY/Discord-entry-exit-tts-bot,2023년 12월 8일,음성채팅 내에서 사용자가 입/퇴장을 할 때 tts로 알려주는 봇.
수락고 카카오 챗봇,"Mysql, PHP, 개인 프로젝트",https://pf.kakao.com/_xdtxjpd,2017년 11월 1일 → 2017년 12월 31일,급식이나 날씨 버스정보를 알 수 있는 카카오 플러스 친구
디스코드 Chat GPT 봇 with AWS,"Python, 개인 프로젝트",,2023년 3월 14일,디스코드로 Chat GPT를 사용할 수 있는 봇
중대 급 병역관리 프로그램,"Excel, vba, 개인 프로젝트",,2019년 3월 19일 → 2020년 10월 21일,중대에서 병역을 쉽게 관리할 수 있는 반자동 프로그램
티켓링크 티켓팅 메크로,"Python, 개인 프로젝트",,2023년 7월 22일,티켓팅 대기열까지 자동으로 입장해주는 메크로